id,drug_name,adr,release_date,source,source_url,pdf_url,local_file
40,Lamotrigine,Stevens Johnson syndrome (SJS) and Toxic Epidermal Necrolysis (TEN),2021-Nov-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNTQ=,data\cdsco\adr\040_Lamotrigine_Stevens_Johnson_syndrome_(SJS)_and_Toxic_Epidermal_Necrolysis_(TEN).pdf
41,Benidipine,Photosensitivity reaction,2021-Mar-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNDQ=,data\cdsco\adr\041_Benidipine_Photosensitivity_reaction.pdf
42,Alfuzosin,Palpitation,2021-Mar-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNDE=,data\cdsco\adr\042_Alfuzosin_Palpitation.pdf
43,Pentoxifylline,Palpitation,2021-Mar-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNTk=,data\cdsco\adr\043_Pentoxifylline_Palpitation.pdf
44,Chloroquine,SJS-TEN,2020-Jan-30,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYxNg==,data\cdsco\adr\044_Chloroquine_SJS-TEN.pdf
45,Lamivudine,Hearing Loss,2020-Jan-13,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYxNw==,data\cdsco\adr\045_Lamivudine_Hearing_Loss.pdf
46,Proton Pump Inhibitor,Acute Kidney Injury,2019-Nov-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYxNQ==,data\cdsco\adr\046_Proton_Pump_Inhibitor_Acute_Kidney_Injury.pdf
47,Diclofenac,Nicolaus syndrome,2019-Jul-24,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYxNA==,data\cdsco\adr\047_Diclofenac_Nicolaus_syndrome.pdf
48,Meropenem,Hypokalemia,2019-Jun-19,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYxMA==,data\cdsco\adr\048_Meropenem_Hypokalemia.pdf
49,CarbamazepineD,Drug Rash with Eosinophilia and Systemic Symptom (DRESS)t,2019-Jun-19,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYxMw==,data\cdsco\adr\049_CarbamazepineD_Drug_Rash_with_Eosinophilia_and_Systemic_Symptom_(DRESS)t.pdf
50,Artemether + Lumefantrine,Steven Johnson Syndrome (SJS)a,2019-Jun-19,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYxMQ==,data\cdsco\adr\050_Artemether_+_Lumefantrine_Steven_Johnson_Syndrome_(SJS)a.pdf
51,Phenobarbital,Drug Rash with Eosinophilia and Systemic Symptom (DRESS)1,2019-Jun-16,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwOQ==,data\cdsco\adr\051_Phenobarbital_Drug_Rash_with_Eosinophilia_and_Systemic_Symptom_(DRESS)1.pdf
52,Amlodipine,Gingival Hypertrophy,2019-Jun-13,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwNw==,data\cdsco\adr\052_Amlodipine_Gingival_Hypertrophy.pdf
53,Carvedilol,Hyperkalemia,2019-Jun-13,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwNg==,data\cdsco\adr\053_Carvedilol_Hyperkalemia.pdf
54,AmlodipineA,Alopecia,2019-Jun-13,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwOA==,data\cdsco\adr\054_AmlodipineA_Alopecia.pdf
55,Cefepime,Urticaria,2019-Jun-12,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwMQ==,data\cdsco\adr\055_Cefepime_Urticaria.pdf
56,Sulfasalazine(SJS),Steven Johnson Syndrome(SJS),2019-Jun-12,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwNA==,data\cdsco\adr\056_Sulfasalazine(SJS)_Steven_Johnson_Syndrome(SJS).pdf
57,Sulfasalazine(TEN),Toxic Epidermal Necrolysis(TEN),2019-Jun-12,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwNQ==,data\cdsco\adr\057_Sulfasalazine(TEN)_Toxic_Epidermal_Necrolysis(TEN).pdf
58,Terbinafine,Acute Generalised Exanthematous Pustulosis (AGEP),2019-Jun-12,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwMg==,data\cdsco\adr\058_Terbinafine_Acute_Generalised_Exanthematous_Pustulosis_(AGEP).pdf
59,Fluconazole,Hyperpigmentation,2019-Jun-12,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTYwMw==,data\cdsco\adr\059_Fluconazole_Hyperpigmentation.pdf
60,Sodium Valproate,Gum Hyperplasia Adverse Reaction,2019-Apr-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTU5OQ==,data\cdsco\adr\060_Sodium_Valproate_Gum_Hyperplasia_Adverse_Reaction.pdf
61,Cefixime,Acute Generalised Exanthematosus Pustulosis (AGEP),2019-Apr-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNDU=,data\cdsco\adr\061_Cefixime_Acute_Generalised_Exanthematosus_Pustulosis_(AGEP).pdf
62,Cefotaxime,Angioedema Adverse Reaction,2019-Apr-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTU5NA==,data\cdsco\adr\062_Cefotaxime_Angioedema_Adverse_Reaction.pdf
63,Ofloxacin,Steven Johnson Syndrome(SJS)/ Toxic Epidermal Necrolysis(TEN,2019-Apr-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTU5NQ==,data\cdsco\adr\063_Ofloxacin_Steven_Johnson_Syndrome(SJS)_Toxic_Epidermal_Necrolysis(TEN.pdf
64,Quetiapine,Urinary incontinence,2019-Apr-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTU5Nw==,data\cdsco\adr\064_Quetiapine_Urinary_incontinence.pdf
65,Sulfasalazine,Drug Rash with Eosinophilia and Systemic Symptom (DRESS),2019-Apr-09,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTU5OA==,data\cdsco\adr\065_Sulfasalazine_Drug_Rash_with_Eosinophilia_and_Systemic_Symptom_(DRESS).pdf
66,Anti-Rabies vaccine,Erythema Multiforme,2016-Oct-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNjc=,data\cdsco\adr\066_Anti-Rabies_vaccine_Erythema_Multiforme.pdf
67,FDC of Piperacillin and Tazobactam,"Hypokalaemia, Bronchospasm",2015-Dec-23,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTU5Mw==,"data\cdsco\adr\067_FDC_of_Piperacillin_and_Tazobactam_Hypokalaemia,_Bronchospasm.pdf"
68,Carbamazepine,Steven Johnson Syndrome(SJS)/ Toxic Epidermal Necrolysis(TEN),2015-May-12,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=NTU5Mg==,data\cdsco\adr\068_Carbamazepine_Steven_Johnson_Syndrome(SJS)_Toxic_Epidermal_Necrolysis(TEN).pdf
