id,serial_number,title,release_date,pdf_size,source,source_url,pdf_url,local_file
25,25,List of New Drugs Approved for Marketing in India year 2018,2018-Jan-01,286KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/SNDApprovalJan2018-April2018.pdf,data\cdsco\fdc_new_drugs\025_List of New Drugs Approved for Marketing in India year 2018.pdf
26,26,List of New Drugs Approved for Marketing in India year 2017,2017-Jan-01,303KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/SNDApprovalJan2017-Dec2017.pdf,data\cdsco\fdc_new_drugs\026_List of New Drugs Approved for Marketing in India year 2017.pdf
27,27,List of New Drugs Approved for Marketing in India year 2016,2016-Jan-01,116KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/Jan-DecemberDrugsList10_1_2017.pdf,data\cdsco\fdc_new_drugs\027_List of New Drugs Approved for Marketing in India year 2016.pdf
28,28,List of New Drugs Approved for Marketing in India year 2015,2015-Jan-01,348KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/Drugs-approved-list-dec-2015.pdf,data\cdsco\fdc_new_drugs\028_List of New Drugs Approved for Marketing in India year 2015.pdf
29,29,List of New Drugs Approved for Marketing in India year 2014,2014-Jan-01,620 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/snd2014ne.pdf,data\cdsco\fdc_new_drugs\029_List of New Drugs Approved for Marketing in India year 2014.pdf
30,30,List of New Drugs Approved for Marketing in India year 2013,2013-Jan-01,244KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/list-Approved-apupdated-2013-list.pdf,data\cdsco\fdc_new_drugs\030_List of New Drugs Approved for Marketing in India year 2013.pdf
31,31,List of New Drugs Approved for Marketing in India year 2012,2012-Jan-01,140KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LIST-OF-APPROVED-DRUG-2012(1).pdf,data\cdsco\fdc_new_drugs\031_List of New Drugs Approved for Marketing in India year 2012.pdf
32,32,List of New Drugs Approved for Marketing in India year 2011,2011-Jan-11,298 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/approvalsnd211g.pdf,data\cdsco\fdc_new_drugs\032_List of New Drugs Approved for Marketing in India year 2011.pdf
33,33,List of New Drugs Approved for Marketing in India year 2009,2009-Jan-01,397KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LIST-OF-APPROVED-DRUG-FROM-01-01-2009-TO-31-12-2009.pdf,data\cdsco\fdc_new_drugs\033_List of New Drugs Approved for Marketing in India year 2009.pdf
34,34,List of New Drugs Approved for Marketing in India year 2008,2008-Jan-01,353KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LIST OF APPROVED DRUG FROM 01-01-2008 to 31-12-2008.pdf,data\cdsco\fdc_new_drugs\034_List of New Drugs Approved for Marketing in India year 2008.pdf
35,35,List of New Drugs Approved for Marketing in India year 2007,2007-Jan-01,330KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LIST OF APPROVED DRUG FROM 01-01-2007 to 31-12-2007.pdf,data\cdsco\fdc_new_drugs\035_List of New Drugs Approved for Marketing in India year 2007.pdf
36,36,List of New Drugs Approved for Marketing in India year 2006,2006-Jan-01,234KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/1_LIST OF DRUGS APPROVED DURING 2006.pdf,data\cdsco\fdc_new_drugs\036_List of New Drugs Approved for Marketing in India year 2006.pdf
37,37,List of New Drugs Approved for Marketing in India year 2005,2005-Jan-01,245KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LIST OF DRUGS APPROVED DURING 2005.pdf,data\cdsco\fdc_new_drugs\037_List of New Drugs Approved for Marketing in India year 2005.pdf
38,38,List of New Drugs Approved for Marketing in India year 2004,2004-Jan-01,412 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/2024add.pdf,data\cdsco\fdc_new_drugs\038_List of New Drugs Approved for Marketing in India year 2004.pdf
39,39,List of New Drugs Approved for Marketing in India year 2003,2003-Jan-01,111KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LIST OF DRUGS APPROVED DURING 2003.pdf,data\cdsco\fdc_new_drugs\039_List of New Drugs Approved for Marketing in India year 2003.pdf
40,40,List of New Drugs Approved for Marketing in India year 2002,2002-Jan-01,193KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LIST OF DRUGS APPROVED DURING 2002.pdf,data\cdsco\fdc_new_drugs\040_List of New Drugs Approved for Marketing in India year 2002.pdf
41,41,List of New Drugs Approved for Marketing in India Year 1961-1970,2001-Jan-01,486KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/List_FDC_1961-1970.pdf,data\cdsco\fdc_new_drugs\041_List of New Drugs Approved for Marketing in India Year 1961-1970.pdf
42,42,List of New Drugs Approved for Marketing in India year 2001,2001-Jan-01,112KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LIST OF DRUGS APPROVED DURING 2001.pdf,data\cdsco\fdc_new_drugs\042_List of New Drugs Approved for Marketing in India year 2001.pdf
43,43,List of New Drugs Approved for Marketing in India Year 1981-1990,1981-Mar-01,79KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/1981-1990.pdf,data\cdsco\fdc_new_drugs\043_List of New Drugs Approved for Marketing in India Year 1981-1990.pdf
44,44,List of New Drugs Approved for Marketing in India Year 1971-1980,1971-Jan-01,120KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/1971-1980.pdf,data\cdsco\fdc_new_drugs\044_List of New Drugs Approved for Marketing in India Year 1971-1980.pdf
